Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Purchase History,Seasonality,Preparation Method,Geographical Location,Pricing,Wastage Food Amount
Meat,400.0,Corporate,500.0,Refrigerated,Occasional,Winter,Buffet,Rural,High,
Meat,310.0,Birthday,350.0,Refrigerated,Regular,Winter,Finger Food,Rural,High,35.0
Meat,380.0,Wedding,500.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,35.0
Meat,220.0,Wedding,300.0,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,15.0
Meat,220.0,Corporate,300.0,Room Temperature,Regular,Summer,Finger Food,Urban,Low,15.0
Fruits,310.0,Wedding,350.0,Refrigerated,Regular,All Seasons,Finger Food,Rural,High,35.0
Meat,434.0,Birthday,495.0,REFRIGERATED,Regular,Winter,Sit-down Dinner,Suburban,Low,36.0
Fruits,488.0,Corporate,498.0,Room Temperature,Regular,Summer,Finger Food,Rural,High,63.0
Fruits,275.0,Corporate,388.0,Room Temperature,Regular,Winter,Finger Food,Urban,Low,16.0
Meat,300.0,Wedding,400.0,Refrigerated,Regular,All Seasons,Finger Food,Urban,Moderate,15.0
Meat,220.0,Wedding,300.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,15.0
Meat,350.0,Corporate,450.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,25.0
Meat,400.0,Wedding,500.0,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,40.0
Meat,220.0,Corporate,300.0,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,15.0
Meat,,Birthday,300.0,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,15.0
Vegetables,350.0,Birthday,450.0,Room Temperature,Regular,Summer,Finger Food,Urban,High,30.0
Vegetables,220.0,Corporate,300.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,15.0
Baked Goods,220.0,Birthday,300.0,Room Temperature,Regular,Summer,Finger Food,Urban,Low,15.0
Dairy Products,300.0,Birthday,400.0,Room Temperature,Regular,Summer,Buffet,Suburban,Low,20.0
Vegetables,280.0,Corporate,350.0,REFRIGERATED,Regular,Summer,Finger Food,Urban,Moderate,20.0
 Baked Goods ,350.0,Corporate,450.0,Room Temperature,Regular,Summer,Finger Food,Urban,Low,20.0
Fruits,280.0,Corporate,350.0,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,20.0
Baked Goods,320.0,Wedding,400.0,Room Temperature,Occasional,Summer,Buffet,Rural,High,35.0
Meat,280.0,Birthday,350.0,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,20.0
Meat,207.0,Corporate,280.0,Room Temperature,Regular,Winter,Finger Food,Suburban,High,20.0
Fruits,275.0,Corporate,388.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,16.0
Vegetables,400.0,Wedding,350.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35.0
Meat,250.0,Wedding,350.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,20.0
Meat,400.0,Birthday,500.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,40.0
Fruits,350.0,Birthday,450.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,30.0
Baked Goods,300.0,WEDDING,400.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,20.0
Meat,350.0,Birthday,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25.0
BAKED GOODS,250.0,Birthday,350.0,Room Temperature,Regular,All Seasons,Buffet,Rural,Moderate,20.0
Fruits,320.0,Birthday,400.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,35.0
Baked Goods,292.0,Wedding,470.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,50.0
Dairy Products,350.0,Birthday,450.0,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,20.0
Vegetables,320.0,Wedding,400.0,Refrigerated,Regular,Winter,Buffet,Rural,High,30.0
Fruits,472.0,birthday,489.0,Room Temperature,Regular,Summer,Buffet,Urban,Low,36.0
Meat,320.0,Corporate,400.0,Refrigerated,Regular,Winter,Finger Food,Urban,Low,15.0
Fruits,320.0,Wedding,,Refrigerated,Regular,All Seasons,Buffet,Rural,High,35.0
Meat,453.0,Wedding,484.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,54.0
Dairy Products,290.0,Wedding,374.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,27.0
Dairy Products,350.0,Birthday,,Room Temperature,Regular,Summer,Sit-down Dinner,Rural,High,35.0
 Fruits ,280.0,Social Gathering,350.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,20.0
Fruits,220.0,Birthday,300.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15.0
Dairy Products,280.0,Corporate,400.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,25.0
Baked Goods,250.0,Wedding,350.0,ROOM TEMPERATURE,Regular,Summer,Finger Food,Rural,High,30.0
Fruits,320.0,Corporate,400.0,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,20.0
Meat,350.0,Wedding,450.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25.0
Vegetables,267.0,WEDDING,393.0,Room Temperature,Regular,Summer,Sit-down Dinner,Rural,Low,24.0
Baked Goods,450.0,Corporate,500.0,Room Temperature,Regular,Summer,Finger Food,Urban,High,30.0
Meat,220.0,Wedding,300.0,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,20.0
Meat,300.0,Wedding,400.0,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,25.0
Fruits,320.0,Birthday,400.0,Room Temperature,Occasional,Winter,Buffet,Rural,High,30.0
MEAT,400.0,Corporate,500.0,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,High,40.0
Meat,220.0,Social Gathering,300.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15.0
Dairy Products,400.0,Corporate,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,50.0
Fruits,442.0,Wedding,452.0,ROOM TEMPERATURE,Occasional,All Seasons,Sit-down Dinner,Suburban,Low,32.0
 Baked Goods ,247.0,Birthday,,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,16.0
Baked Goods,380.0,birthday,400.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,25.0
Fruits,320.0,Wedding,400.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35.0
Meat,290.0,Social Gathering,374.0,Refrigerated,Regular,All Seasons,Finger Food,Rural,Low,27.0
Fruits,320.0, Birthday ,400.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40.0
Vegetables,438.0,Birthday,493.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,33.0
Dairy Products,280.0,Birthday,350.0,Room Temperature,Regular,Summer,Finger Food,Urban,Low,15.0
 Dairy Products ,280.0,Social Gathering,,Room Temperature,Regular,Winter,Finger Food,Rural,Low,20.0
Dairy Products,280.0,Wedding,1130.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,20.0
Baked Goods,400.0,Birthday,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,45.0
Baked Goods,,Birthday,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35.0
Dairy Products,350.0,Wedding,450.0,Room Temperature,Occasional,Summer,Sit-down Dinner,Urban,Moderate,25.0
Dairy Products,220.0,Wedding,300.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,15.0
Dairy Products,260.0,Corporate,400.0,Room Temperature,Occasional,Winter,Sit-down Dinner,Suburban,Low,20.0
Dairy Products,250.0,Wedding,350.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20.0
Baked Goods,412.0,Social Gathering,,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,38.0
Dairy Products,320.0,Social Gathering,,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,25.0
Meat,,Corporate,500.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,30.0
 Baked Goods ,350.0,Birthday,450.0,Room Temperature,Regular,Summer,Finger Food,Suburban,High,30.0
Baked Goods,302.0,Corporate,371.0,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,27.0
Baked Goods,488.0,Corporate,498.0,Room Temperature,Regular,Summer,Finger Food,Suburban,High,63.0
Vegetables,350.0,Corporate,450.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,35.0
Fruits,310.0,corporate,450.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,25.0
Fruits,280.0,Birthday,350.0,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,20.0
 Meat ,250.0,Wedding,350.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,25.0
Meat,765.0,Wedding,500.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Low,20.0
Meat,250.0,Birthday,350.0,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,20.0
Baked Goods,350.0, Social Gathering ,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,25.0
Dairy Products,280.0,Corporate,350.0,room temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20.0
Baked Goods,280.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,20.0
Vegetables,208.0,Social Gathering,282.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,22.0
Dairy Products,250.0,Wedding,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,20.0
Meat,250.0,Birthday,350.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,
Fruits,260.0,Wedding,400.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,20.0
Meat,300.0,Social Gathering,400.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15.0
Dairy Products,400.0,Wedding,400.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,40.0
Baked Goods,400.0,Birthday,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,40.0
Meat,350.0,Social Gathering,,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25.0
Baked Goods,,Social Gathering,1130.0,Room Temperature,Regular,Winter,Finger Food,Rural,High,40.0
Baked Goods,320.0,Corporate,400.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25.0
Baked Goods,400.0,Corporate,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,50.0
Dairy Products,270.0,Wedding,400.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,40.0
Dairy Products,220.0,Wedding,300.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15.0
Dairy Products,280.0,Birthday,350.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20.0
Baked Goods,400.0,Wedding,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,
VEGETABLES,220.0,Corporate,300.0,Refrigerated,Occasional,All Seasons,Finger Food,Suburban,Moderate,15.0
Baked Goods,765.0,Corporate,348.0,Room Temperature,Occasional,Summer,Finger Food,Suburban,Moderate,16.0
Fruits,320.0,Social Gathering,400.0,Refrigerated,Occasional,Winter,Buffet,Rural,High,40.0
Dairy Products,320.0,Birthday,400.0,Room Temperature,Regular,Summer,Buffet,Rural,High,35.0
Fruits,250.0,Birthday,500.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,40.0
Dairy Products,320.0,Corporate,400.0,Room Temperature,Regular,Winter,Buffet,Urban,High,45.0
Meat,220.0,Birthday,300.0,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,15.0
Dairy Products,400.0,Corporate,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,45.0
Baked Goods,350.0,Birthday,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40.0
Baked Goods,280.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,20.0
Dairy Products,220.0,Corporate,300.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,15.0
Dairy Products,320.0,Corporate,400.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,25.0
Baked Goods,247.0,Corporate,348.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,16.0
Dairy Products,280.0,Corporate,350.0,Room Temperature,Occasional,Winter,Finger Food,Suburban,Moderate,20.0
Baked Goods,247.0,Social Gathering,348.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,16.0
Baked Goods,,Wedding,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,30.0
Baked Goods,400.0,Social Gathering,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,40.0
Baked Goods,220.0,Social Gathering,450.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,30.0
Dairy Products,350.0,social gathering,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,35.0
Dairy Products,280.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15.0
Dairy Products,250.0,Social Gathering,350.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,20.0
Vegetables,350.0,Corporate,450.0,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,Moderate,30.0
baked goods,350.0,Social Gathering,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,Moderate,30.0
Vegetables,397.0,Social Gathering,482.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Rural,Moderate,31.0
Baked Goods,,Social Gathering,1130.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,40.0
Dairy Products,261.0,Birthday,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,23.0
Baked Goods,290.0,Birthday,374.0,Room Temperature,Regular,Summer,Finger Food,Rural,Low,27.0
Vegetables,300.0,Corporate,400.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,30.0
Fruits,350.0,Corporate,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,45.0
Meat,350.0,Corporate,,Refrigerated,Occasional,Winter,Sit-down Dinner,Rural,Moderate,25.0
Dairy Products,320.0,Wedding,400.0,Room Temperature,Regular,All Seasons,Buffet,Urban,High,45.0
Meat,400.0,Wedding,500.0,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,High,45.0
Fruits,400.0,Social Gathering,500.0,Room Temperature,Regular,Summer,Finger Food,Rural,High,40.0
Meat,380.0,Social Gathering,480.0,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,30.0
meat,400.0,Social Gathering,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,25.0
Meat,350.0,Social Gathering,450.0,Room Temperature,Regular,Winter,Finger Food,Suburban,High,30.0
Dairy Products,350.0,Corporate,450.0,Room Temperature,Regular,Winter,Finger Food,Urban,High,30.0
Fruits,310.0,Corporate,350.0,Room Temperature,Occasional,All Seasons,Finger Food,Urban,High,35.0
Baked Goods,450.0,Birthday,500.0,ROOM TEMPERATURE,Regular,All Seasons,Finger Food,Urban,High,30.0
Baked Goods,,Corporate,348.0,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,
Meat,400.0,Corporate,500.0,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,High,40.0
Baked Goods,220.0,Wedding,300.0,Room Temperature,Occasional,Summer,Finger Food,Suburban,High,35.0
Fruits,250.0,Social Gathering,350.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,40.0
Vegetables,300.0,Social Gathering,400.0,Room Temperature,Regular,Summer,Finger Food,Rural,Low,20.0
Fruits,342.0,Social Gathering,405.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,29.0
Dairy Products,280.0,Birthday,350.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,20.0
 Baked Goods ,350.0,Wedding,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,35.0
Baked Goods,250.0,Social Gathering,350.0,Room Temperature,Occasional,Summer,Buffet,Suburban,Low,10.0
Dairy Products,220.0, Corporate ,300.0,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,15.0
baked goods,320.0,Corporate,400.0,room temperature,Regular,All Seasons,Finger Food,Urban,Moderate,25.0
Vegetables,250.0,Social Gathering,350.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,20.0
Dairy Products,350.0,Corporate,450.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,30.0
Dairy Products,220.0,Corporate,,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,15.0
Dairy Products,400.0,Corporate,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,50.0
Dairy Products,,Social Gathering,459.0,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,39.0
Dairy Products,300.0,Wedding,400.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25.0
Dairy Products,220.0,Corporate,300.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,15.0
Dairy Products,,Wedding,350.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20.0
 Baked Goods ,220.0,Social Gathering,1130.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,15.0
Dairy Products,300.0,Social Gathering,400.0,Room Temperature,Regular,Summer,Finger Food,Suburban,High,40.0
Fruits,230.0,Social Gathering,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,20.0
Dairy Products,350.0,birthday,1130.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,25.0
Dairy Products,400.0,Social Gathering,450.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,30.0
Fruits,,Social Gathering,300.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15.0
Baked Goods,300.0,Social Gathering,400.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,25.0
Fruits,280.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20.0
Fruits,320.0,Birthday,480.0,Refrigerated,Regular,Summer,Buffet,Rural,High,40.0
Meat,,Wedding,300.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Low,15.0
Meat,434.0,Wedding,495.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,36.0
Vegetables,472.0,Corporate,,Refrigerated,Occasional,Winter,Buffet,Urban,Low,36.0
MEAT,250.0,Corporate,350.0,Room Temperature,Regular,Winter,Finger Food,Urban,High,30.0
Fruits,220.0,wedding,300.0,Refrigerated,Regular,Winter,Finger Food,Rural,Moderate,15.0
Meat,320.0,Corporate,400.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,35.0
Vegetables,350.0,Wedding,450.0,Refrigerated,Occasional,Summer,Finger Food,Rural,High,30.0
Meat,400.0,Corporate,400.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,40.0
Fruits,320.0,Corporate,480.0,Refrigerated,Occasional,All Seasons,Buffet,Suburban,High,40.0
Vegetables,280.0,Corporate,350.0,Refrigerated,Regular,Winter,Buffet,Suburban,Moderate,24.0
Fruits,292.0,Birthday,470.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,50.0
Meat,208.0,Wedding,,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Moderate,22.0
Fruits,250.0,Corporate,350.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,20.0
Meat,320.0,Birthday,400.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,
Meat,320.0,Corporate,400.0,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,20.0
Vegetables,220.0,Wedding,300.0,Refrigerated,Occasional,Summer,Finger Food,Rural,Moderate,15.0
baked goods,302.0,Corporate,371.0,Room Temperature,Occasional,Winter,Buffet,Suburban,Low,27.0
Vegetables,250.0,SOCIAL GATHERING,350.0,Refrigerated,Regular,Summer,Buffet,Rural,Moderate,20.0
Baked Goods,267.0,Wedding,393.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,24.0
Fruits,453.0,Wedding,484.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,54.0
Vegetables,400.0,Social Gathering,500.0,Room Temperature,Regular,Summer,Buffet,Rural,High,30.0
Meat,300.0,Wedding,400.0,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,Moderate,15.0
Baked Goods,220.0,Wedding,300.0,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,15.0
Baked Goods,300.0,Birthday,480.0,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,40.0
Fruits,280.0,Social Gathering,,Refrigerated,Regular,All Seasons,Finger Food,Rural,Low,20.0
Dairy Products,290.0,Corporate,374.0,Room Temperature,Regular,Winter,Finger Food,Rural,Low,27.0
Meat,438.0,Corporate,493.0,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,Moderate,35.0
Baked Goods,350.0,Birthday,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,45.0
Vegetables,300.0,Corporate,450.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,35.0
 Baked Goods ,300.0,Corporate,400.0,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,15.0
Dairy Products,300.0,Wedding,400.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,35.0
Fruits,267.0,Social Gathering,,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,24.0
Fruits,300.0,Birthday,400.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,25.0
Meat,342.0,Social Gathering,405.0,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,29.0
Fruits,350.0,Birthday,450.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,25.0
Fruits,400.0,Social Gathering,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Rural,High,40.0
Vegetables,,Corporate,300.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15.0
Vegetables,320.0,Social Gathering,400.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35.0
Dairy Products,,Birthday,497.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,32.0
Fruits,250.0,Wedding,350.0,Room Temperature,Occasional,Winter,Sit-down Dinner,Suburban,Moderate,20.0
